CODE,PRODUCT_NAME,PRODUCT_GROUP,TYPE_LABEL,MAIN_CODE,PERIOD_LABEL,PERIOD_VALUE,PERIOD_KIND,PAY_TERM,ENTRY_AGE_M,ENTRY_AGE_F,CLASS_TAG,SRC_FILE
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증10년,999,E,월납(5년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증10년,999,E,월납(10년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증10년,999,E,월납(15년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증10년,999,E,월납(20년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증10년,999,E,월납(전기납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증15년,999,E,월납(5년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증15년,999,E,월납(10년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증15년,999,E,월납(15년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증15년,999,E,월납(20년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증15년,999,E,월납(전기납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증20년,999,E,월납(5년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증20년,999,E,월납(10년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증20년,999,E,월납(15년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증20년,999,E,월납(20년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증20년,999,E,월납(전기납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증30년,999,E,월납(5년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증30년,999,E,월납(10년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증30년,999,E,월납(15년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증30년,999,E,월납(20년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증30년,999,E,월납(전기납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증100세,999,E,월납(5년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증100세,999,E,월납(10년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증100세,999,E,월납(15년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증100세,999,E,월납(20년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-보증100세,999,E,월납(전기납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-금액보증,999,E,월납(5년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
21360,무배당 흥국생명 온라인연금저축보험,주계약,기본형,21360,종신연금형-금액보증,999,E,월납(10년납),만19세~(연금개시나이-납입기간)세,만19세~(연금개시나이-납입기간)세,MAIN,UW17232
